dDate	sTicker
06.01.2025	DIAS
07.01.2025	TATN
07.01.2025	TATNP
08.01.2025	TATN
08.01.2025	TATNP
08.01.2025	DIAS
08.01.2025	NOMPP
08.01.2025	NOMP
09.01.2025	ROSN
09.01.2025	NOMPP
09.01.2025	NOMP
09.01.2025	PMSB
09.01.2025	PMSBP
10.01.2025	ROSN
11.01.2025	PMSB
11.01.2025	PMSBP
13.01.2025	ZAYM
14.01.2025	EUTR
14.01.2025	ZAYM
14.01.2025	PHOR
15.01.2025	ASTR
16.01.2025	ASTR
27.01.2025	Фосагро
20.03.2025	DIAS
21.03.2025	DIAS
04.04.2025	GCHE
07.04.2025	GCHE
18.04.2025	WTCM
18.04.2025	WTCMP
21.04.2025	WTCM
21.04.2025	WTCMP
24.04.2025	PLZL
25.04.2025	AVAN
25.04.2025	PLZL
25.04.2025	NVTK
25.04.2025	YDEX
28.04.2025	AVAN
28.04.2025	NVTK
28.04.2025	YDEX
28.04.2025	LSRG
29.04.2025	LSRG
02.05.2025	BSPB
02.05.2025	BSPBP
05.05.2025	BSPB
05.05.2025	BSPBP
09.05.2025	TTLK
12.05.2025	TTLK
15.05.2025	T
16.05.2025	MDMG
16.05.2025	T
19.05.2025	MDMG
19.05.2025	PRMD
19.05.2025	ELMT
20.05.2025	SGZH
21.05.2025	T
22.05.2025	NAUK
23.05.2025	KAZT
23.05.2025	KAZTP
25.05.2025	NAUK
26.05.2025	KAZT
26.05.2025	KAZTP
30.05.2025	TATN
30.05.2025	TATNP
30.05.2025	HNFG
30.05.2025	LNZLP
30.05.2025	PMSB
30.05.2025	PMSBP
02.06.2025	LKOH
02.06.2025	TATN
02.06.2025	TATNP
02.06.2025	HNFG
02.06.2025	LNZLP
02.06.2025	PMSB
02.06.2025	PMSBP
02.06.2025	ABRD
03.06.2025	LKOH
04.06.2025	OZPH
05.06.2025	DATA
05.06.2025	DATA
05.06.2025	LEAS
05.06.2025	OZPH
06.06.2025	IRAO
06.06.2025	DATA
06.06.2025	DATA
06.06.2025	BELU
06.06.2025	SFIN
06.06.2025	AKRN
06.06.2025	PHOR
07.06.2025	LEAS
09.06.2025	IRAO
09.06.2025	KAZT
09.06.2025	BELU
09.06.2025	SFIN
09.06.2025	AKRN
09.06.2025	PHOR
10.06.2025	SVAV
11.06.2025	SVAV
13.06.2025	GEMA
16.06.2025	GEMA
17.06.2025	RZSB
17.06.2025	KRSB
17.06.2025	KRSBP
18.06.2025	RZSB
18.06.2025	KRSB
18.06.2025	KRSBP
20.06.2025	TORS
20.06.2025	TORSP
23.06.2025	TORS
